fundingTime,formulaType,fundingRate,instId,instType,method,realizedRate
2025-10-01 00:00:00,withRate,4.15423175526e-05,BTC-USDT-SWAP,SWAP,current_period,4.15423175526e-05
2025-10-01 08:00:00,withRate,6.64887042417e-05,BTC-USDT-SWAP,SWAP,current_period,6.64887042417e-05
2025-10-01 16:00:00,withRate,5.6141693506e-05,BTC-USDT-SWAP,SWAP,current_period,5.6141693506e-05
2025-10-02 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-02 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-02 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-03 00:00:00,withRate,1.71255780752e-05,BTC-USDT-SWAP,SWAP,current_period,1.71255780752e-05
2025-10-03 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-03 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-04 00:00:00,withRate,6.67325012209e-05,BTC-USDT-SWAP,SWAP,current_period,6.67325012209e-05
2025-10-04 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-04 16:00:00,withRate,4.0116404144e-05,BTC-USDT-SWAP,SWAP,current_period,4.0116404144e-05
2025-10-05 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-05 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-05 16:00:00,withRate,6.45955798541e-05,BTC-USDT-SWAP,SWAP,current_period,6.45955798541e-05
2025-10-06 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-06 08:00:00,withRate,6.24518666953e-05,BTC-USDT-SWAP,SWAP,current_period,6.24518666953e-05
2025-10-06 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-07 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-07 08:00:00,withRate,4.29417997059e-05,BTC-USDT-SWAP,SWAP,current_period,4.29417997059e-05
2025-10-07 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-08 00:00:00,withRate,3.86570430827e-05,BTC-USDT-SWAP,SWAP,current_period,3.86570430827e-05
2025-10-08 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-08 16:00:00,withRate,2.16847031279e-05,BTC-USDT-SWAP,SWAP,current_period,2.16847031279e-05
2025-10-09 00:00:00,withRate,1.7896600272e-05,BTC-USDT-SWAP,SWAP,current_period,1.7896600272e-05
2025-10-09 08:00:00,withRate,-4.0910449446e-06,BTC-USDT-SWAP,SWAP,current_period,-4.0910449446e-06
2025-10-09 16:00:00,withRate,6.69219128379e-05,BTC-USDT-SWAP,SWAP,current_period,6.69219128379e-05
2025-10-10 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-10 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
